Dia_diem,Nam,Thang,Ngay,T,U,R,Sh
Bach Long Vy,2023,11,7,25.5,88.0,0.0,3.4
Bach Long Vy,2023,11,8,26.3,91.0,0.0,5.4
Bach Long Vy,2023,11,9,26.6,92.0,0.0,9.1
Bach Long Vy,2023,11,10,26.9,92.0,0.0,9.3
Bach Long Vy,2023,11,11,27.2,92.0,0.0,9.9
Bach Long Vy,2023,11,12,26.8,91.0,0.1,2.2
Bach Long Vy,2023,11,13,20.8,89.0,0.2,0.0
Bach Long Vy,2023,11,14,20.0,89.0,0.0,0.0
Bach Long Vy,2023,11,15,22.5,88.0,0.0,0.1
Bach Long Vy,2023,11,16,21.6,76.0,2.6,1.0
Bach Long Vy,2023,11,17,21.3,52.0,0.0,9.6
Bach Long Vy,2023,11,18,21.3,58.0,0.0,10.3
Bach Long Vy,2023,11,19,22.0,62.0,0.0,8.8
Bach Long Vy,2023,11,20,22.7,66.0,0.0,9.7
Bach Long Vy,2023,11,21,23.3,76.0,0.0,9.7
Bach Long Vy,2023,11,22,24.5,83.0,0.0,8.0
Bach Long Vy,2023,11,23,24.2,84.0,0.0,6.2
Bach Long Vy,2023,11,24,24.2,84.0,0.0,6.1
Bach Long Vy,2023,11,25,24.3,81.0,0.0,9.1
Bach Long Vy,2023,11,26,24.3,82.0,0.0,7.5
Bach Long Vy,2023,11,27,23.7,82.0,0.0,9.0
Bach Long Vy,2023,11,28,23.8,78.0,0.0,9.2
Bach Long Vy,2023,11,29,24.1,84.0,0.0,5.9
Bach Long Vy,2023,11,30,23.4,89.0,4.9,0.0
Bach Long Vy,2023,12,1,21.4,89.0,0.2,0.0
Bach Long Vy,2023,12,2,20.8,88.0,0.0,0.0
Bach Long Vy,2023,12,3,21.0,90.0,0.0,0.0
Bach Long Vy,2023,12,4,20.9,90.0,0.0,0.0
Bach Long Vy,2023,12,5,21.4,83.0,0.0,0.0
Bach Long Vy,2023,12,6,21.8,82.0,0.0,2.5
Bach Long Vy,2023,12,7,22.0,65.0,0.0,9.6
Bach Long Vy,2023,12,8,22.5,75.0,0.0,9.5
Bach Long Vy,2023,12,9,24.0,85.0,0.0,0.8
Bach Long Vy,2023,12,10,24.9,86.0,0.0,0.9
Bach Long Vy,2023,12,11,25.0,88.0,0.4,0.0
Bach Long Vy,2023,12,12,24.9,88.0,0.0,1.9
Bach Long Vy,2023,12,13,25.3,82.0,0.0,3.5
Bach Long Vy,2023,12,14,25.6,80.0,0.0,4.4
Bach Long Vy,2023,12,15,25.4,84.0,0.0,5.7
Bach Long Vy,2023,12,16,20.5,82.0,0.0,0.0
Bach Long Vy,2023,12,17,14.3,88.0,0.3,0.0
Bach Long Vy,2023,12,18,16.8,90.0,0.0,0.0
Bach Long Vy,2023,12,19,15.9,90.0,0.0,0.0
Bach Long Vy,2023,12,20,15.2,75.0,0.0,0.0
Bach Long Vy,2023,12,21,14.4,62.0,0.0,9.4
Bach Long Vy,2023,12,22,12.5,66.0,0.0,9.3
Bach Long Vy,2023,12,23,14.6,56.0,0.0,9.5
Bach Long Vy,2023,12,24,15.7,52.0,0.0,1.5
Bach Long Vy,2023,12,25,16.8,53.0,0.0,5.9
Bach Long Vy,2023,12,26,19.3,69.0,0.0,8.4
Bach Long Vy,2023,12,27,20.5,75.0,0.0,9.4
Bach Long Vy,2023,12,28,21.0,80.0,0.0,9.4
Bach Long Vy,2023,12,29,21.5,85.0,1.2,1.4
Bach Long Vy,2023,12,30,20.7,87.0,5.1,0.0
Bach Long Vy,2023,12,31,21.6,84.0,0.0,7.2
Bach Long Vy,2024,1,1,22.7,86.0,0.0,5.4
Bach Long Vy,2024,1,2,19.5,82.0,0.0,4.5
Bach Long Vy,2024,1,3,19.7,76.0,2.5,1.6
Bach Long Vy,2024,1,4,22.4,78.0,0.0,0.2
Bach Long Vy,2024,1,5,22.3,82.0,0.0,0.0
Bach Long Vy,2024,1,6,22.4,82.0,0.0,5.2
Bach Long Vy,2024,1,7,22.9,80.0,0.0,8.3
Bach Long Vy,2024,1,8,23.1,82.0,0.4,1.4
Bach Long Vy,2024,1,9,21.8,84.0,0.0,1.1
Bach Long Vy,2024,1,10,21.9,85.0,3.3,0.0
Bach Long Vy,2024,1,11,22.0,85.0,5.3,0.0
Bach Long Vy,2024,1,12,21.7,84.0,2.6,0.0
Bach Long Vy,2024,1,13,22.0,84.0,3.4,0.0
Bach Long Vy,2024,1,14,22.2,82.0,0.0,0.1
Bach Long Vy,2024,1,15,22.3,76.0,0.0,6.4
Bach Long Vy,2024,1,16,22.7,78.0,0.0,8.2
Bach Long Vy,2024,1,17,22.8,78.0,0.7,0.5
Bach Long Vy,2024,1,18,22.4,80.0,0.2,2.2
Bach Long Vy,2024,1,19,22.4,82.0,0.0,5.6
Bach Long Vy,2024,1,20,18.6,86.0,0.0,1.2
Bach Long Vy,2024,1,21,15.4,84.0,3.3,0.0
Bach Long Vy,2024,1,22,10.6,89.0,8.4,0.0
Bach Long Vy,2024,1,23,11.1,89.0,2.7,0.0
Bach Long Vy,2024,1,24,11.8,80.0,0.0,0.0
Bach Long Vy,2024,1,25,12.7,84.0,0.0,0.0
Bach Long Vy,2024,1,26,12.7,88.0,0.0,0.0
Bach Long Vy,2024,1,27,13.1,91.0,7.0,0.0
Bach Long Vy,2024,1,28,14.4,90.0,0.4,0.0
Bach Long Vy,2024,1,29,16.9,89.0,4.2,0.0
Bach Long Vy,2024,1,30,18.7,91.0,0.3,0.2
Bach Long Vy,2024,2,1,22.3,88.0,1.5,0.0
Bach Long Vy,2024,2,2,22.3,90.0,0.1,0.0
Bach Long Vy,2024,2,3,23.0,86.0,0.0,0.0
Bach Long Vy,2024,2,4,21.0,86.0,0.0,5.3
Bach Long Vy,2024,2,5,19.6,87.0,0.3,0.0
Bach Long Vy,2024,2,6,16.8,88.0,1.1,0.0
Bach Long Vy,2024,2,7,13.7,87.0,0.7,0.0
Bach Long Vy,2024,2,8,13.5,80.0,0.0,0.0
Bach Long Vy,2024,2,9,16.1,58.0,0.0,0.0
Bach Long Vy,2024,2,10,18.1,62.0,0.0,4.7
Bach Long Vy,2024,2,11,19.7,73.0,0.0,9.1
Bach Long Vy,2024,2,12,20.3,80.0,0.0,9.4
Bach Long Vy,2024,2,13,21.7,80.0,0.0,0.2
Bach Long Vy,2024,2,14,20.5,81.0,0.0,0.0
Bach Long Vy,2024,2,15,18.9,80.0,0.0,2.8
Bach Long Vy,2024,2,16,20.5,81.0,0.0,6.5
Bach Long Vy,2024,2,17,23.2,80.0,0.5,0.0
Bach Long Vy,2024,2,18,23.0,79.0,1.1,0.0
Bach Long Vy,2024,2,19,24.5,82.0,0.1,0.0
Bach Long Vy,2024,2,20,24.0,84.0,0.0,0.0
Bach Long Vy,2024,2,21,23.1,87.0,0.7,0.0
Bach Long Vy,2024,2,22,17.4,89.0,0.0,0.0
Bach Long Vy,2024,2,23,15.0,90.0,2.1,0.0
Bach Long Vy,2024,2,24,14.2,89.0,3.1,0.0
Bach Long Vy,2024,2,25,14.4,91.0,0.0,0.0
Bach Long Vy,2024,2,26,13.5,90.0,0.7,0.0
Bach Long Vy,2024,2,27,14.8,92.0,0.6,0.0
Bach Long Vy,2024,2,28,15.5,92.0,1.5,0.0
Bach Long Vy,2024,2,29,0.0,0.0,1.4,0.0
Bach Long Vy,2024,3,1,13.1,84.0,0.2,0.0
Bach Long Vy,2024,3,2,15.5,86.0,0.0,0.0
Bach Long Vy,2024,3,3,21.2,86.0,0.1,0.0
Bach Long Vy,2024,3,4,22.8,88.0,1.1,0.0
Bach Long Vy,2024,3,5,20.6,85.0,0.0,0.0
Bach Long Vy,2024,3,6,18.3,84.0,0.0,0.0
Bach Long Vy,2024,3,7,16.8,88.0,0.0,0.0
Bach Long Vy,2024,3,8,16.2,95.0,0.0,0.0
