Dia_diem,Nam,Thang,Ngay,T,U,R,Sh
Ha Long,2024,2,3,21.4,86,0,2.5
Ha Long,2024,2,4,22.1,89,0,5.1
Ha Long,2024,2,5,21.1,88,0,0.6
Ha Long,2024,2,6,19.9,92,2.7,0
Ha Long,2024,2,7,18,90,0,0
Ha Long,2024,2,8,13.8,76,0,0
Ha Long,2024,2,9,13.2,71,0,0
Ha Long,2024,2,10,16,70,0,2.3
Ha Long,2024,2,11,17.5,66,0,6
Ha Long,2024,2,12,17,69,0,7.9
Ha Long,2024,2,13,18.7,85,0,2.3
Ha Long,2024,2,14,20.6,82,0,2.6
Ha Long,2024,2,15,19.7,88,0,0.8
Ha Long,2024,2,16,20.6,84,0,6.1
Ha Long,2024,2,17,19.7,88,0,0.1
Ha Long,2024,2,18,21.6,92,0.1,0
Ha Long,2024,2,19,23,90,0.4,0
Ha Long,2024,2,20,23.4,90,0,0
Ha Long,2024,2,21,23.6,92,0,0
Ha Long,2024,2,22,23.8,88,0,0
Ha Long,2024,2,23,20.1,90,1.2,0
Ha Long,2024,2,24,16.2,90,1,0
Ha Long,2024,2,25,14.5,84,0,0
Ha Long,2024,2,26,15,86,0.8,0
Ha Long,2024,2,27,13.5,84,0.2,0
Ha Long,2024,2,28,14.9,88,0,0
Ha Long,2024,2,29,15.5,86,1.8,0
Ha Long,2024,3,1,13.2,77,0,0
Ha Long,2024,3,2,13.3,74,0,0
Ha Long,2024,3,3,15.5,74,0.4,0
Ha Long,2024,3,4,18.6,95,1.4,0
Ha Long,2024,3,5,22.9,85,0,8.6
Ha Long,2024,3,6,22.1,81,0,0.5
Ha Long,2024,3,7,19.6,74,0,0
Ha Long,2024,3,8,18.5,72,0,0
Ha Long,2024,3,9,16.7,91,1.1,0
Ha Long,2024,3,10,17.3,91,0.7,0
Ha Long,2024,3,11,18.7,81,0.2,0.3
Ha Long,2024,3,12,19.3,82,0,5.7
Ha Long,2024,3,13,19.7,91,0.7,0
Ha Long,2024,3,14,20.3,94,1.5,0.2
Ha Long,2024,3,15,21.7,90,0,0
Ha Long,2024,3,16,22.2,93,0,0.3
Ha Long,2024,3,17,21.5,97,0.6,0
Ha Long,2024,3,18,22.3,93,0,0
Ha Long,2024,3,19,20.5,86,4.2,0
Ha Long,2024,3,20,19,68,0,0
Ha Long,2024,3,21,19.7,79,0,0.3
Ha Long,2024,3,22,20.4,92,0.2,0
Ha Long,2024,3,23,23.5,92,7.2,0
Ha Long,2024,3,24,24,87,0,0
Ha Long,2024,3,25,24.6,88,0.1,2
Ha Long,2024,3,26,24.3,88,0,2.5
Ha Long,2024,3,27,24.4,88,0,0.7
Ha Long,2024,3,28,24.2,91,1.1,0
Ha Long,2024,3,29,23.9,86,4,1.3
Ha Long,2024,3,30,23.9,90,0.1,0.4
Ha Long,2024,3,31,25.9,88,0,3.8
Ha Long,2024,4,1,26.5,86,0,6
Ha Long,2024,4,2,26.5,85,0,7.4
Ha Long,2024,4,3,26.9,85,0,6.6
Ha Long,2024,4,4,27.1,84,0,0
Ha Long,2024,4,5,26,90,0,0
Ha Long,2024,4,6,25.3,87,0,0
